Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Commute,Moving Time,Max Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
512395849,"Mar 9, 2016, 11:07:20 AM",I-bankers in lycra are a harbinger of spring ,Run,2374,6.74,false,2364,4.40000009536743,30.9069995880127,,18.2000007629395,49.2000007629395,13.3999996185303,-0.019275000318885
513928102,"Mar 11, 2016, 11:02:24 AM","Overcast and warm, just a little drizzle ",Run,2507,6.76,false,2504,3.79999995231628,36.7807006835937,,18.1000003814697,55.4000015258789,38.4000015258789,0.032546300441027
514850592,"Mar 12, 2016, 1:04:30 PM",Sun before the darkness returns ,Run,2534,7.1,false,2524,5.30000019073486,29.9850006103516,,17.1000003814697,48,16.2999992370605,0.095719397068024
517536717,"Mar 15, 2016, 10:08:30 AM",Plunged back into darkness,Run,2419,6.81,false,2410,4,30.9549999237061,,18.2000007629395,49.2000007629395,13.5,-0.020539600402117
518386988,"Mar 16, 2016, 10:07:25 AM",Is this what they used to call spring?,Run,2466,6.84,false,2462,5.09999990463257,29.9853992462158,,18.1000003814697,49.5999984741211,18.1000003814697,-0.024850500747562
520046214,"Mar 18, 2016, 10:08:12 AM",Civil twilight ,Run,2525,6.83,false,2506,3.70000004768372,30.9946994781494,,18.2000007629395,49.2999992370605,16.5,-0.023422999307513
520353086,"Aug 2, 2015, 1:12:20 PM",Morning Run,Run,2640,6.93,false,2625,5.09999990463257,31.0550003051758,,18.1000003814697,49.2999992370605,16.1000003814697,-0.021629700437188
521336720,"Mar 19, 2016, 7:30:30 PM",Afternoon Run,Run,3682,10.16,false,3482,9.10000038146973,78.1684036254883,,-0.300000011920929,50.2999992370606,33.5999984741211,0.042313698679209
522813960,"Mar 21, 2016, 10:11:02 AM",That moment in the park when the streetlights turn off and everything is white and gray ,Run,2500,6.8,false,2479,5.69999980926514,30.9158000946045,,18.2000007629395,49.2000007629395,16,-0.007347110193223
523687020,"Mar 22, 2016, 12:17:20 PM",Morning Ride,Ride,2697,11.59,true,2543,10.5,51.5589981079102,,-0.200000002980232,41.7000007629395,16.2999992370605,-0.162185996770859
524130614,"Mar 22, 2016, 9:05:52 PM",Afternoon Ride,Ride,2978,10.73,true,2431,11.1999998092651,38.2625999450684,,0,24.6000003814697,9.80000019073486,0.022368000820279
525308446,"Mar 24, 2016, 10:09:06 AM",Morning Run,Run,3201,8.55,false,3176,3.79999995231628,46.0045013427734,,18.1000003814697,50.9000015258789,20.5,0.008178809657693
526103306,"Mar 25, 2016, 10:07:02 AM",Sunrise!,Run,3230,8.46,false,3213,4.5,48.2428016662598,,18.2000007629395,54.0999984741211,33,0.018904499709606
527124840,"Mar 26, 2016, 12:20:38 PM",Morning Run,Run,3204,8.37,false,3112,6.5,49.402400970459,,8.19999980926514,46.2000007629395,27,0.040605299174786
528850062,"Mar 28, 2016, 10:07:49 AM",Rain. ,Run,2484,6.8,false,2480,7.19999980926514,31.0706005096436,,18.2000007629395,49.2999992370605,15.1000003814697,-0.011755499988794
529711020,"Mar 29, 2016, 10:12:36 AM",Wind. ,Run,3205,8.58,false,3193,4.30000019073486,44.0848999023438,,18.1000003814697,49.0999984741211,15.3999996185303,-0.009317060001194
531561940,"Mar 31, 2016, 10:07:43 AM",Morning Run,Run,3275,8.53,false,3226,5.09999990463257,66.3574981689453,,18.1000003814697,54.2999992370605,49.5,0.01406139973551
532446169,"Apr 1, 2016, 10:01:31 AM",Morning Run,Run,3259,8.4,false,3259,5.5,54.812198638916,,18.1000003814697,54.5999984741211,29.2000007629395,0.04641479998827
537021347,"Apr 5, 2016, 11:37:37 PM",Evening Run,Run,2896,8.6,false,2793,5.30000019073486,44.1211013793945,,18.1000003814697,49.2000007629395,20.3999996185303,-0.017439199611545
539084794,"Apr 8, 2016, 10:07:55 AM",Morning Run,Run,2543,6.84,false,2482,4.40000009536743,30.7999992370605,,18.2000007629395,49.0999984741211,16,-0.033605098724365
540100425,"Apr 9, 2016, 12:16:48 PM",Morning Run,Run,4328,11.73,false,4290,8.89999961853027,74.6769027709961,,-0.300000011920929,41.2999992370605,17.3999996185303,-0.015338599681854
541172174,"Apr 10, 2016, 12:15:07 PM",Morning Run,Run,1849,5.15,false,1818,4,17.5613994598389,,28.2999992370605,46.2999992370605,5.59999990463257,0.054313000291586
542111865,"Apr 11, 2016, 10:08:07 AM",Morning Run,Run,2549,6.78,false,2526,4,30.8476009368896,,18.2000007629395,49.0999984741211,15,-0.001474139979109
544021819,"Apr 13, 2016, 10:08:06 AM",Morning Run,Run,2586,6.77,false,2557,5,30.0316009521484,,18.1000003814697,49.0999984741211,15.3999996185303,-0.0236284006387
545949030,"Apr 15, 2016, 10:13:48 AM",Monkeys howling ,Run,2554,6.83,false,2538,4,30.6944007873535,,18.2000007629395,49,15.6999998092651,-0.029257299378514
547368775,"Apr 16, 2016, 7:26:16 PM",Afternoon Run,Run,618,1.64,false,606,5.59999990463257,30.636999130249,,8.19999980926514,39.2999992370605,7,1.8934600353241
547368845,"Apr 16, 2016, 5:49:30 PM",I don't know the way from Owl's Head Park,Run,4590,12.19,false,4525,4.40000009536743,83.1401977539062,,0.100000001490116,55.2999992370606,49,-0.146026998758316
548539212,"Apr 17, 2016, 6:05:19 PM",#feelthebern,Ride,1284,4.55,false,1004,10.1000003814697,0,,18.1000003814697,48.0999984741211,9.69999980926514,-0.393319994211197
549085113,"Apr 18, 2016, 10:06:49 AM",Birthday Run,Run,2407,6.8,false,2383,3.90000009536743,30.8108005523682,,18.1000003814697,49.0999984741211,14.8000001907349,-0.023506900295615
550174189,"Apr 19, 2016, 1:04:07 PM",Morning Ride,Ride,2834,11.7,true,2543,11.8000001907349,52.301399230957,,0,41,17.8999996185303,-0.152948006987572
550676691,"Apr 19, 2016, 8:40:43 PM",Afternoon Ride,Ride,3201,10.69,true,2550,10,38.7169990539551,,-0.300000011920929,24.5,15.3000001907349,0.020563799887896
551128239,"Apr 20, 2016, 10:08:20 AM",Morning Run,Run,2511,6.79,false,2492,4.30000019073486,30.0646991729736,,18.1000003814697,49.5,18.6000003814697,-0.025014000013471
553227746,"Apr 22, 2016, 10:07:55 AM",Morning Run,Run,2710,6.87,false,2550,3.70000004768372,30.8349990844727,,18.2000007629395,49.0999984741211,17,-0.026189800351858
554247675,"Apr 23, 2016, 12:16:31 PM",Morning Run,Run,3942,10.28,false,3817,5.80000019073486,36.4366989135742,,2.29999995231628,40.7000007629395,39.5999984741211,-0.011673600412905
557486572,"Apr 26, 2016, 4:52:14 PM",San Diego trail run ,Run,3048,7.76,false,2954,4.59999990463257,155.92399597168,,43.2999992370606,120.400001525879,42.5,0.019322700798512
561403340,"Apr 30, 2016, 9:04:06 PM",Back in Brooklyn ,Run,3596,9.87,false,3439,7.69999980926514,36.331600189209,,2.40000009536743,41.2000007629395,22.2999992370605,-0.017222199589014
562932630,"May 2, 2016, 10:08:06 AM",Morning Run,Run,2527,6.81,false,2437,3.90000009536743,30.8526000976562,,18.2000007629395,49.0999984741211,13,-0.02055829949677
564980502,"May 4, 2016, 10:07:19 AM",Just a little rain ,Run,2383,6.77,false,2379,4.40000009536743,29.9785995483398,,18.1000003814697,49.2000007629395,14.8999996185303,-0.017720300704241
567142594,"May 6, 2016, 10:09:51 AM",Rain. ,Run,1870,5.32,false,1866,4.09999990463257,23.5226001739502,,25.2999992370605,49.0999984741211,19.1000003814697,-0.02815579995513
568281550,"May 7, 2016, 11:47:01 AM",Two bridges ,Run,5280,14.06,false,5074,9.5,62.6195983886719,,-0.100000001490116,41.9000015258789,29.8999996185303,-0.024885499849916
570406781,"May 9, 2016, 10:06:56 AM",A few intervals ,Run,2362,6.78,false,2335,5.09999990463257,30.7632007598877,,18.2000007629395,49,17.2000007629395,0.002946380060166
571383331,"May 10, 2016, 10:06:02 AM",Morning Run,Run,2292,6.79,false,2266,4.19999980926514,29.9249992370605,,18.2000007629395,49.2000007629395,12,-0.005887370090932
572435394,"May 11, 2016, 10:09:32 AM",Morning Run,Run,2481,6.62,false,2460,4.69999980926514,32.5999984741211,,18.2000007629395,52.5,20.7000007629395,0.052815798670054
584277116,"May 22, 2016, 12:17:30 PM",Morning Run,Run,2322,6.78,false,2314,5.5,30.8211002349854,,18.2000007629395,49.0999984741211,13.6000003814697,-0.023576900362969
586255668,"May 24, 2016, 10:06:46 AM",Morning Run,Run,2365,6.82,false,2346,4.19999980926514,30.2900009155273,,18.2000007629395,48.5999984741211,15.8000001907349,-0.019038999453187
587387947,"May 25, 2016, 9:54:27 AM",Morning Run,Run,2390,6.83,false,2372,5.30000019073486,30.1588001251221,,18.1000003814697,48.9000015258789,15.1000003814697,-0.014627600088716
589544429,"May 27, 2016, 10:14:50 AM",Morning Run,Run,2600,6.82,false,2541,4,30.4200000762939,,18.2000007629395,48.7000007629395,15,-0.019048999994993
591191120,"May 28, 2016, 7:48:43 PM",Schroon Hill Road ,Run,2479,6.66,false,2479,6.30000019073486,85.6734008789062,,292.5,333,23.8999996185303,0.019502500072122
592881749,"May 30, 2016, 11:30:41 AM",Vernooy Kill Falls,Run,3588,6.49,false,3403,3.90000009536743,245.113006591797,,365.200012207031,561.599975585937,31.5,0.024629799649119
594890794,"Jun 1, 2016, 9:59:36 AM",Morning Run,Run,2617,6.9,false,2437,4.30000019073486,30.5049991607666,,18.2000007629395,48.7999992370605,14.8999996185303,-0.023186100646854
595934986,"Jun 2, 2016, 9:45:38 AM",Morning Run,Run,1966,5.39,false,1947,4.30000019073486,23.3904991149902,,24.7999992370605,49.4000015258789,11.3999996185303,-0.02410089969635
598089332,"Jun 4, 2016, 12:23:54 PM",Morning Run,Run,4097,10.27,false,3896,8.19999980926514,51.0903015136719,,0,41.5999984741211,44.0999984741211,-0.013632600195706
600312183,"Jun 6, 2016, 10:10:32 AM",Morning Run,Run,2379,6.8,false,2355,6.59999990463257,30.8059005737305,,18.1000003814697,49,19.5,-0.02057640068233
601364213,"Jun 7, 2016, 9:48:53 AM",Morning Run,Run,3076,8.68,false,3033,4.59999990463257,42.2464981079102,,18.1000003814697,49.0999984741211,20.6000003814697,-0.019579600542784
602526703,"Jun 8, 2016, 9:55:26 AM",Morning Run,Run,3401,8.62,false,3321,3.5,42.2563018798828,,18.2000007629395,49.2999992370605,14.6999998092651,-0.016234699636698
605768175,"Jun 11, 2016, 11:49:36 AM",Morning Run,Run,3061,8.09,false,2991,4.69999980926514,34.7271003723145,,20.8999996185303,55.4000015258789,29.2000007629395,-0.030894700437784
607923514,"Jun 13, 2016, 10:09:42 AM",Morning Run,Run,2673,7.26,false,2617,4.80000019073486,39.9034996032715,,18.2999992370605,52.4000015258789,30,-0.015144200064242
609893929,"Jun 15, 2016, 10:09:51 AM",Morning Run,Run,2427,6.86,false,2363,8.10000038146973,30.8563003540039,,18.2000007629395,49.0999984741211,14.8999996185303,-0.021853100508452
610885121,"Jun 16, 2016, 9:50:36 AM",Morning Run,Run,2492,6.87,false,2492,5.90000009536743,30.1105995178223,,18,49.5999984741211,14.6000003814697,-0.015998600050807
612924839,"Jun 18, 2016, 12:21:05 PM",Morning Run,Run,4294,11.43,false,4136,6,61.1916999816895,,-0.300000011920929,41.7000007629395,10.8999996185303,-0.052457198500633
614975451,"Jun 20, 2016, 10:05:06 AM",Morning Run,Run,2251,6.78,false,2223,4.80000019073486,30.6721992492676,,18.2000007629395,48.9000015258789,13.3000001907349,-0.025053799152374
615936070,"Jun 21, 2016, 10:01:10 AM",Morning Run,Run,2461,6.86,false,2405,5.5,30.1229991912842,,18,49.4000015258789,15.6000003814697,-0.018928399309516
618135401,"Jun 23, 2016, 10:08:52 AM",Morning Run,Run,2598,6.81,false,2577,4.5,30.8579998016357,,18.2000007629395,49.0999984741211,13.6999998092651,-0.014677199535072
620230186,"Jun 25, 2016, 11:26:11 AM",Morning Run,Run,4629,11.86,false,4394,7.69999980926514,47.3390007019043,,2.70000004768372,41,29.1000003814697,-0.016009200364351
622357377,"Jun 27, 2016, 9:52:20 AM",Morning Run,Run,2376,6.84,false,2336,5.30000019073486,30.1643009185791,,18.1000003814697,49.4000015258789,15.1000003814697,-0.024838199838996
